text,label
of liver transplantation programs required patients to discontinue methadone treatment in,0
mg day dosage of folic acid and mg day dosage of vitamin b does not affect chronic kidney disease ckd progression,0
of people with severe mental disorder receive no treatment in low and middle income countries,0
a t helper cell th environment impedes disease development in patients with systemic lupus erythematosus sle,1
a breast cancer patient s capacity to metabolize tamoxifen influences treatment outcome,0
a country s vaccine alliance gavi eligibility is not indictivate of accelerated adoption of the hub vaccine,1
a deficiency of folate increases blood levels of homocysteine,0
a diminished ovarian reserve does not solely indicate infertility in an a priori non infertile population,0
a diminished ovarian reserve is a very strong indicator of infertility even in an a priori non infertile population,1
a high microerythrocyte count protects against severe anemia in homozygous alpha thalassemia trait subjects,0
a mutation in hnf a leads to an increased risk of developing diabetes by the age of years,0
a single nucleotide variant the gene dgkk is strongly associated with increased risk of hypospadias,0
a strong bias in the phage genome locations where the spacers were derived has been observed in many crispr subtypes that confer the immunity to phage,0
aldh expression is associated with poorer prognosis for breast cancer primary tumors,0
amp activated protein kinase ampk activation reduces inflammation related fibrosis in the lungs,0
apoe expression in ipsc derived neurons results in decreased tau phosphorylation,1
art has no effect on the infectiveness of hiv positive people,1
art substantially reduces infectiveness of hiv positive people,0
activated cdk phosphorylates the atm protein in response to dna damage,0
activation of the rac homolog ced kills viable cells in srgp mutant caenorhabditis elegans,0
active caspase participate in regulating phagosome lysosome fusion,0
adult tissue resident macrophages possess a self renewing capacity,0
aggravated inflammation is dependent on nlrp inflammasome activation,0
allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction,1
alteration of origin firing causes changes in termination zones of okazaki fragments,1
ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension,1
amitriptyline is an effective treatment for chronic tension type headaches,0
an m like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure,0
androgenetic haploid mouse embryonic stem cells escs can be derived and genetically manipulated in vitro,0
angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency,1
anthrax spores are very difficult to dispose once they are dispersed,0
anthrax spores remain deadly until affected areas are decontaminated,0
antimicrobial agents are less effective due to the pressure of antimicrobial usage,0
antimicrobial agents are more effective due to the pressure of antimicrobial usage,1
antiretroviral therapy increases rates of tuberculosis across a broad range of cd strata,1
asymptomatic visual impairment screening in elderly populations leads to improved vision,1
autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti interleukin receptor antibodies,0
autophagy deficiency in the liver increases vulnerability to insulin resistance,1
b cells go though plasmablast differentiation and antibody production by continuous expression of ebi,0
brca mutation carriers risk of breast and ovarian cancer depends on where the mutation is located,0
bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid csf cultures,0
bariatric surgery increases rates of postmenopausal breast cancer,0
bariatric surgery leads to negative outcomes in mental health,1
bariatric surgery leads to positive outcomes in mental health,0
basophils promote disease development in patients with systemic lupus erythematosus sle,0
binding of p to enhancer regions p bers regulates the activity of p transcription and cell cycle arrest through the production of p dependent ernas,0
blocking the interaction between tdp and respiratory complex i proteins nd and nd prevents tdp induced neuronal loss,0
bone marrow cells don t contribute to adult macrophage compartments,0
broadly hiv neutralizing antibodies bnab eb have no affinity for phospholipids,0
c works synergistically with a to activate dephosphorylated ampk,0
cd initiates tonic signaling in conventional t cells which causes an exhaustion phenotype and limited efficiency,0
cd signals regulate trafficking of murine auto reactive t cells into target tissues,0
cd v is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis,1
ca cycling controls whole body energy homeostasis in beige fat,0
cancer cells can stimulate the accumulation of intra tumoural myeloid derived suppressor cells by promoting granulocyte colony stimulating factor production,0
cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms,0
cardiac tissue resident macrophages directly contribute to electrical activity,0
cell autonomous sex determination in somatic cells occurs in galliformes,0
cellular clocks are associated with mitosis timing in nih t cells,0
cellular clocks are not predictive of mitosis timing in nih t cells,1
cellular differentiation of embryonic stem cells is accompanied by changes in replication timing transcription and nuclear localization,0
charcoal is an effective treatment for acute paraquat poisoning,1
chenodeoxycholic acid treatment decreases brown adipose tissue activity,1
chenodeoxycholic acid treatment increases brown adipose tissue activity,0
chlamydia trachomatis is most prevalent in the uk among sexually experienced individuals aged to,0
cholesterol loading induces klf expression in vsmcs resulting in the expression of pro inflammatory cytokines,0
citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle,1
citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies,0
clathrin stabilizes the spindle fiber apparatus during mitosis,0
cognitive behavioral therapy is an ineffective treatment for insomnia,1
combination nicotine replacement therapies with varenicline or bupropion are more effective after weeks of reatment compared to varenicline monotherapy,0
commelina yellow mottle virus comymv has three typical badnavirus orfs capable of encoding proteins and kd,0
commelina yellow mottle virus comymv genome consists of baise pairs,1
comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function,0
consumption of whole fruits increases the risk of type diabetes,1
converting apoe to apoe by gene editing prevents the pathology associated with apoe in human ipscderived neurons,0
converting apoe to apoe by gene editing worsens the pathology associated with apoe in human ipscderived neurons,1
cost effectiveness evaluations based on crct data accurately reflect prices for patients in actual clinical practice,1
cost effectiveness evaluations based on crct data lack external validity,0
cyclin a destruction is necessary to switch from unstable to stable kt mt attachments in mitosis,0
cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis,1
decreased diastolic blood pressure dbp is associated with abdominal aortic aneurysm,1
deltex interacts with eif there is no known interaction between deltex and elf,1
depletion of t helper th cells during simian immunodeficiency virus siv infection decreases dissemination of salmonella typhimurium from the gut,1
depletion of t helper th cells during simian immunodeficiency virus siv infection increases dissemination of salmonella typhimurium from the gut,0
deregulation of hand is a crucial step in endometrial carcinogenesis in mice,0
diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery,0
diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery,1
diabetic patients with acute coronary syndrome experience decreased short term and long term risk for bleeding events,1
differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling,1
differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed,0
diminished ovarian reserve is a reliable indicator of infertility in a non infertile population,1
