text,label
"Tiny implantable device short-circuits hunger pangs, aids weight loss",0
Scientists report CRISPR restores effectiveness of lung cancer treatment,0
Probiotics could help millions of patients suffering from bipolar disorder,0
Yes Please to Yogurt and Cheese: The New Improved Mediterranean Diet,0
Johns Hopkins team identifies promising diagnostic tool for Alzheimer's disease,0
Cedars-Sinai Surgeon Uses New Device to Perform First-Ever Surgery,0
Vitamin C May Reduce Harm to Infants’ Lungs Caused by Smoking During Pregnancy;,0
Mayo researchers say oral apixaban safe and effective for treating blood clots in cancer patients,0
Extract from soursop leaves can prevent the symptoms of fibromyalgia,0
Pulsed radiofrequency relieves acute back pain and sciatica,0
Electrical stimulation in the nose induces sense of smell in human subjects,0
MRI scans shows promise in predicting dementia,0
New blood test detects early stage ovarian cancer,0
"Can't exercise? A hot bath may help improve inflammation, metabolism, study suggests",0
First-ever prostate cancer treatment uses gold nanoparticles to destroy tumorous cells,0
Fecal transplant effective against immunotherapy-induced colitis,0
"Mailed HPV tests can help find women at-risk for cervical cancer, study finds",0
Fermented dairy products may protect against heart attack,0
Aspirin alone a good clot buster after knee surgery,0
Surgery technique reduces strokes in atherosclerosis patients,0
Distinguishing fatal prostate cancer from 'manageable' cancer now possible,0
'Universal' blood test for earlier diagnosis of cancer moves closer to market,0
Getting relief from sexual dysfunction and incontinence caused by menopause,0
High-Precision Proton Therapy More Effective in Treating Certain Cancers When Combined with Thermal Therapy,0
Study shows diet and weight may affect response to bipolar disorder treatment,0
Midwifery linked to lower odds of birth complications for low-income women,0
New cancer vaccine shows early promise for patients with HER2-positive cancers,0
Milk protein shown to alleviate chemotherapy side effects,0
Combo therapy of prostatectomy plus radiotherapy may improve survival in prostate cancer,0
Weight loss can be boosted fivefold thanks to novel mental imagery technique,0
"Too many people missing out on health benefits of golf, says expert panel",0
First-Ever Rapid Response Test for Levels of Bifidobacterium in Baby's Gut Microbiome,0
Zika vaccine shows promise for treating deadly brain cancer,0
New blood test detects early stage pancreatic cancer,0
Testosterone replacement therapy may slow the progression of COPD,0
Nucleix Announces Positive Clinical Results for Lung EpiCheck in Early Detection of Lung Cancer,0
"Newly Published Results Show Investigational Treatment Brexanolone Consistently Reduced Depressive Symptoms Across Three Postpartum Depression Trials, Supporting Submission for FDA Approval",0
NUS researchers use AI to successfully treat metastatic cancer patient,0
Combination approach shows promise for beating advanced melanoma,0
"Scans cut heart attack rates and save lives, major study finds",0
Breastfeeding may help protect mothers against stroke,0
"Simple score to diagnose heart attacks is safer, faster than current methods",0
Blood test may identify gestational diabetes risk in first trimester,0
Preliminary Data from Study Demonstrates 94% Accuracy in Detecting Aggressive Prostate Cancer,0
"Innovative triple pill significantly lowers blood pressure, study finds",0
Association of radiation therapy plus lumpectomy in reduced risk of dying in women with DCIS,0
New emerging research suggests Montmorency tart cherries may help enhance gut health,0
"""Liquid biopsy"" test improves health outcomes and can save over $500 million annually for the U.S. healthcare system",0
Gas sensing gut pill beats breath test diagnosis,0
A brain injury diagnosed with a single drop of blood,0
New stroke imaging technology could reduce potential for patient brain damage,0
Treating dementia with the healing waves of sound,0
"Sugar improves memory in over-60s, helping them work smarter",0
Stem Cells Shows Promise For Repairing Torn Meniscus,0
Robotic surgery as effective as open surgery for bladder cancer,0
"New hope for patients with incurable and disabling hand condition, Dupuytren's disease",0
Older patients with knee pain may benefit from allograft transplant technique,0
Cardiac hybrid imaging an effective tool for predicting heart attacks,0
Blood Test Predicts Treatment Response and Survival for Patients with Metastatic Prostate Cancer,0
Blood test predicts spastic cerebral palsy,0
California man's research leads him to Beaumont's Proton Therapy Center in Michigan,0
