text,label
1 in 5 million in UK have abnormal PrP positivity.,1
32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,0
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,0
76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,0
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,1
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,0
A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,1
A deficiency of folate increases blood levels of homocysteine.,0
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,0
"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",1
A high microerythrocyte count protects against severe anemia in homozygous alpha (+)- thalassemia trait subjects.,0
A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,0
A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,0
A strong bias in the phage genome locations where the spacers were derived has been observed in many CRISPR subtypes that confer the immunity to phage.,0
ALDH1 expression is associated with poorer prognosis for breast cancer primary tumors.,0
AMP-activated protein kinase (AMPK) activation reduces inflammation-related fibrosis in the lungs.,0
APOE4 expression in iPSC-derived neurons results in decreased tau phosphorylation.,1
ART has no effect on the infectiveness of HIV-positive people.,1
ART substantially reduces infectiveness of HIV-positive people.,0
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,0
Activated Cdk5 regulates DNA damage-induced neuronal death.,0
Activation of PPM1D enhances p53 function.,1
Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,0
Active Ly49Q induces neutrophil polarization.,0
Active Ly49Q prevents neutrophil polarization.,1
Active caspase-11 participate in regulating phagosome-lysosome fusion.,0
Active caspase-11 protein promotes pyroptosis.,0
Adult tissue-resident macrophages are seeded before birth.,0
Adult tissue-resident macrophages are seeded before birth.,0
Adult tissue-resident macrophages possess a self-renewing capacity.,0
Aggravated inflammation is dependent on NLRP3 inflammasome activation.,0
Alirocumab treatment reduces apo(a) fractional clearance rate.,1
Allogeneic mechanical circulatory support is not as effective as autologous mechanical circulatory support for treating acute myocardial infarction.,1
Alteration of origin firing causes changes in termination zones of Okazaki fragments.,1
Ambulatory blood pressure monitoring is inaccurate at diagnosing hypertension.,1
Amitriptyline is an effective treatment for chronic tension-type headaches.,0
An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,0
Androgenetic haploid mouse embryonic stem cells (ESCs) can be derived and genetically manipulated in vitro.,0
Angiotensin converting enzyme inhibitors are associated with decreased risk for functional renal insufficiency.,1
Anthrax spores are very difficult to dispose once they are dispersed.,0
Anthrax spores remain deadly until affected areas are decontaminated.,0
Antidepressants increase the severity of migraines.,1
Antidepressants reduce the severity of migraines.,0
Antimicrobial agents are less effective due to the pressure of antimicrobial usage.,0
Antimicrobial agents are more effective due to the pressure of antimicrobial usage.,1
Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,1
Asymptomatic visual impairment screening in elderly populations leads to improved vision.,1
Autologous transplantation of mesenchymal stem cells has better graft function than induction therapy with anti-interleukin-2 receptor antibodies.,0
Autophagy deficiency in the liver increases vulnerability to insulin resistance.,1
B cells go though plasmablast differentiation and antibody production by continuous expression of EBI2.,0
BCL-2 activation antagonizes the apoptotic effects of c-Myc.,0
BCL-2 promotes the apoptotic effects of c-Myc.,1
BLM gene encodes RecQ-class DNA helicase.,0
BRCA 1 mutation carriers' risk of breast and ovarian cancer depends on where the mutation is located.,0
Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,0
Bariatric surgery increases rates of colorectal cancer.,0
Bariatric surgery increases rates of postmenopausal breast cancer.,0
Bariatric surgery leads to negative outcomes in mental health.,1
Bariatric surgery leads to positive outcomes in mental health.,0
Bariatric surgery reduces colorectal cancer.,1
Bariatric surgery reduces postmenopausal breast cancer.,1
Basophils promote disease development in patients with systemic lupus erythematosus (SLE).,0
Binding of p53 to enhancer regions (p53BERs) regulates the activity of p53 transcription and cell cycle arrest through the production of p53-dependent eRNAs.,0
Birth-weight is negatively associated with breast cancer.,1
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 prevents TDP-43-induced neuronal loss.,0
Bone marrow cells don't contribute to adult macrophage compartments.,0
Broadly HIV-1 Neutralizing Antibodies (bnAb) 10EB have no affinity for phospholipids.,0
C2 works synergistically with A-769662 to activate dephosphorylated AMPK.,0
CCL19 is a ligand for CCR7.,0
"CD28 initiates tonic signaling in conventional T cells, which causes an exhaustion phenotype and limited efficiency.",0
CD28 signals regulate trafficking of murine auto-reactive T cells into target tissues.,0
CD44v6 is not associated with constitutive and reprogrammed cancer stem cells driving cancer metastasis.,1
COPI coatmer is involved in lipid homeostasis.,0
Ca2+ cycling controls whole-body energy homeostasis in beige fat.,0
Ca2+ cycling is a UCP1-dependent thermogenic mechanism.,1
Ca2+ cycling is a UCP1-independent thermogenic mechanism.,0
Cancer cells can stimulate the accumulation of intra-tumoural myeloid-derived suppressor cells by promoting granulocyte colony stimulating factor production.,0
Cancers that initially benefit from epidermal growth factor receptor targeted therapies later become refractory through several mechanisms.,0
Cardiac tissue-resident macrophages directly contribute to electrical activity.,0
Cell autonomous sex determination in somatic cells occurs in Galliformes.,0
Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,0
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,1
"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.",0
Charcoal is an effective treatment for acute paraquat poisoning.,1
Charcoal shows no benefit for acute paraquat poisoning.,0
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,1
Chenodeoxycholic acid treatment increases brown adipose tissue activity.,0
Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,0
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.",0
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,1
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,0
Clathrin stabilizes the spindle fiber apparatus during mitosis.,0
Cnn1 recruitment varies with cell cycle timing.,0
Cognitive behavioral therapy is an ineffective treatment for insomnia,1
Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,0
"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.",0
Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,1
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,0
Consumption of whole fruits increases the risk of type 2 diabetes.,1
Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,0
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,1
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,1
Cost effectiveness evaluations based on cRCT data lack external validity.,0
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,0
Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,1
DRD1 proteins enable Pol V transcription in vivo.,0
DUSP4 decreases apoptosis.,1
DUSP4 downregulation deactivates the Ras-ERK pathway,1
DUSP4 increases apoptosis.,0
Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,1
Deltex has no known interactions with eIF3f.,1
Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,1
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,1
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection increases dissemination of Salmonella Typhimurium from the gut.,0
Depletion of nitric oxide is responsible for vasospasm.,0
Deregulation of HAND2 is a crucial step in endometrial carcinogenesis in mice.,0
Dexamethasone increases risk of postoperative bleeding.,0
Diabetes remission occurs less in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,0
Diabetes remission occurs more in people treated with conventional therapy than in people treated with laparoscopic adjustable gastric banding surgery.,1
Diabetic patients with acute coronary syndrome experience decreased short-term and long-term risk for bleeding events.,1
Differentiation of progenitor cells to myeloid cells is skewed upon activation of insulin signaling.,1
Differentiation of progenitor cells to myeloid cells is skewed when insulin signaling is suppressed.,0
Diminished ovarian reserve is a reliable indicator of infertility in a non-infertile population.,1
Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,0
Dscam1 acts as a hypervariable pattern-recognition receptor for the immune system.,0
ERAP1 SNPs are epistatic to HLA alleles for ankylosing spondylitis.,0
Early patent ductus ateriosus (PDA) screening decreases in-hospital mortality.,0
Early patent ductus ateriosus (PDA) screening increases in-hospital mortality.,1
"Ectopic expression of Sall4, Nanog, Esrrb, and Lin28 generates induced pluripotent stem cells from mouse embryonic fibroblasts more efficiently than other factor combinations.",0
Egr2 regulates the homeostasis of B and T cells.,0
Egr3 regulates the homeostasis of B and T cells.,0
Eilat virus (EILV) produced in mosquitos elicits rapid and long-lasting neutralizing antibodies in nonhuman primates.,0
Elevated cell-free mitochondrial DNA levels are associated with mortality.,0
Energy balance requires hypothalamic glutamate neurotransmission.,0
Enhanced early production of inflammatory chemokines damages viral control in the lung.,1
Environmental factors can influence the development of breast cancer.,0
Environmentally-induced senescence is mimicked in disease modeling by adding specific molecules to the culture system.,0
Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,0
Exercise increases cancer mortality rates among Chinese citizens.,1
Exercise reduces cancer mortality rates among Chinese citizens.,0
Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,1
Female carriers of the Apolipoprotein E4 (APOE4) allele have decreased risk for dementia.,1
Female carriers of the Apolipoprotein E4 (APOE4) allele have increased risk for Alzheimer's disease.,0
Female carriers of the Apolipoprotein E4 (APOE4) allele have longer lifetime exposure to estrogen due to an increased reproductive period.,0
Female carriers of the Apolipoprotein E4 (APOE4) allele have shorter lifetime exposure to estrogen due to a decreased reproductive period.,1
Fibroblast growth factor 21 protects against atherosclerosis by modulating adiponectin and SREBP2 levels.,0
Forkhead 0 (fox0) transcription factors are involved in apoptosis.,0
Forkhead 0 (fox0) transcription factors are involved in cellular differentiation.,0
FoxO3a activation in neuronal death is inhibited by reactive oxygen species (ROS).,1
Foxk2 regulates autophagy genes in muscle cells and fibroblast cells.,0
G-CSF increases the expansion and infiltration of MDSCs into tumors.,0
GATA3 regulates cell cycle progression in bone marrow hematopoietic stem cells.,0
GATA3 regulates self-renewal capacity in bone marrow hematopoietic stem cells.,0
Gastric infection with Helicobacter pylori decreases risk of gastric cancer in humans.,1
Gastric infection with Helicobacter pylori increases risk of gastric cancer in humans.,0
General exercise therapy is more effective than rotator cuff exercises in reducing pain and improving function of the shoulder.,1
General exercise therapy is more effective than scapular stabilizer exercises in reducing pain and improving function of the shoulder.,1
Genes involved in pre-mRNA splicing have a significant impact on genome stability.,0
Genetic deficiency of mast cells leads to decreased weight gain in a mouse model of diet-induced obesity.,0
Genetic deletion of JAM-A increases gut permeability.,0
Genomic aberrations of metastases provide information for targeted therapy.,0
Genomic sequences involved in alternative splicing responsible for Hutchinson-Gilford progeria syndrome (HGPS) are abundant in the ''progerinonly'' allele of Lmna knock-in models.,1
Glial calcium waves influence seizures.,0
"Glioblastoma multiforme (GBM) is characterized by extensive invasion, rapid growth, necrosis, and angiogenesis.",0
Gpr124 increases BBB breakdown in mouse models of ischemic stroke.,1
Gpr124 suppresses BBB breakdown in mouse models of ischemic stroke.,0
Guanine nucleotide exchange factors (GEFs) mediate RhoA activation in response to tensional forces on fibronectin-binding integrins.,0
H.pylori-mediated gastric cancer occurs due to the accumulation of mutations in host epithelial cells.,0
HAND2 methylation is a key step in early endometrial carcinogenesis.,0
Having a main partner improves HIV outcomes.,0
Having a main partner worsens HIV outcomes.,1
HbA1c consistently overestimates glycemic control in black individuals with Sickle cell trait (SCT).,1
Headaches are correlated with cognitive impairment.,1
Healthy volunteers exhibit rapid and transient increase of cellular ATP after being bolus-injected with fructose.,1
Helicobacter pylori-induced aberrant NF-kB-dependent expression of activation-induced cytidine deaminase contributes to the mutagenesis of host DNA.,0
Helminths interfere with immune system control of coinfections by microbial pathogens 16.,0
High levels of CRP lead to a higher risk of exacerbations in chronic obstructive pulmonary disease (COPD).,0
"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are negatively correlated with cardiovascular events in humans.",1
"Higher plasma levels of I-carnitine, when associated with trimethylamine N-oxide, are positively correlated with cardiovascular events in humans.",0
Human embryonic stem cells give rise to cell types from all three embryonic germ layers.,0
"Human embryonic stem cells give rise to cell types from the outer embryonic germ layer, but not the other two layers.",1
Human embryonic stem cells have the capacity to give rise to differentiated progeny representative of all three embryonic germ layers.,0
Hypocretin neurones suppress panicprone state in rats.,1
Hypothalamic glutamate neurotransmission is unrelated to energy balance.,1
"IFI16 impedes STING phosphorylation and translocation, resulting in reduced activation of STING.",1
IL-10 production by monocytes inhibits CD4 + T cell response.,0
IL-6 signaling plays a major role in atherosclerotic cardiovascular disease.,0
IgA plasma cells that are specific for transglutaminase 2 are scarce in the duodenal mucosa of celiac disease patients when the disease is active.,1
Immune responses in immune cells are geographically segregated.,0
Improvements in OER catalysts show stable activity over several hundred hours.,0
"In British Men, haplogroup I decreases risk of cardiovascular disease.",1
"In British Men, haplogroup I increases risk of cardiovascular disease by 50%.",0
"In S. cerevisiae, the absence of RNA surveillance pathways causes sensitivity to high iron conditions.",0
"In S. cerevisiae, the absence of RNA surveillance pathways reduces sensitivity to high iron conditions.",1
